CV_ID	GLYTOUCAN_ID	PUBCHEM_CID	COMPOSITION	MASS	IMAGE_URL	LINK_OUT_URL
440405	G01534TU	440405	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G01534TU	https://www.glygen.org/glycan/G01534TU
440511	G03499BP	440511	Hex2 HexNAc1	545.2	https://api.glygen.org/glycan/image/G03499BP	https://www.glygen.org/glycan/G03499BP
440993	G45827GY	440993	Hex3 HexNAc1	707.25	https://api.glygen.org/glycan/image/G45827GY	https://www.glygen.org/glycan/G45827GY
440994	G04616ST	440994	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G04616ST	https://www.glygen.org/glycan/G04616ST
440995	G74621DY	440995	Hex2	342.12	https://api.glygen.org/glycan/image/G74621DY	https://www.glygen.org/glycan/G74621DY
441248	G78436BB	441248	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G78436BB	https://www.glygen.org/glycan/G78436BB
441477	G19577LJ	441477	HexN1	179.08	https://api.glygen.org/glycan/image/G19577LJ	https://www.glygen.org/glycan/G19577LJ
44263850	G74724PV	44263850	HexNAc2	426.18	https://api.glygen.org/glycan/image/G74724PV	https://www.glygen.org/glycan/G74724PV
44263859	G80926OA	44263859	Hex3	504.17	https://api.glygen.org/glycan/image/G80926OA	https://www.glygen.org/glycan/G80926OA
44263861	G20624LQ	44263861	Hex3 HexNAc2	910.33	https://api.glygen.org/glycan/image/G20624LQ	https://www.glygen.org/glycan/G20624LQ
44263864	G92612ZM	44263864	Hex3 HexNAc2 dHex1	1056.39	https://api.glygen.org/glycan/image/G92612ZM	https://www.glygen.org/glycan/G92612ZM
44456859	G00054MO	44456859	Hex1 HexNAc1 dHex1 NeuAc1	820.3	https://api.glygen.org/glycan/image/G00054MO	https://www.glygen.org/glycan/G00054MO
44457547	G47379VH	44457547	Hex3 HexNAc2 dHex1 Pen1	1188.43	https://api.glygen.org/glycan/image/G47379VH	https://www.glygen.org/glycan/G47379VH
444863	G85196CF	444863	dHex1	164.07	https://api.glygen.org/glycan/image/G85196CF	https://www.glygen.org/glycan/G85196CF
444885	G50850NI	444885	NeuAc1	309.11	https://api.glygen.org/glycan/image/G50850NI	https://www.glygen.org/glycan/G50850NI
445037	G17927IW	445037	Other1	176.03	https://api.glygen.org/glycan/image/G17927IW	https://www.glygen.org/glycan/G17927IW
44520707	G18315LD	44520707	Hex3	504.17	https://api.glygen.org/glycan/image/G18315LD	https://www.glygen.org/glycan/G18315LD
44560080	G62763GO	44560080	Hex2	342.12	https://api.glygen.org/glycan/image/G62763GO	https://www.glygen.org/glycan/G62763GO
445621	G94923PG	445621	HexN1	179.08	https://api.glygen.org/glycan/image/G94923PG	https://www.glygen.org/glycan/G94923PG
44611309	G98335IX	44611309	Hex1 HexNAc1 NeuAc1	674.24	https://api.glygen.org/glycan/image/G98335IX	https://www.glygen.org/glycan/G98335IX
44611401	G00065MO	44611401	Hex1 HexNAc1 NeuAc1	674.24	https://api.glygen.org/glycan/image/G00065MO	https://www.glygen.org/glycan/G00065MO
44611450	G13003UU	44611450	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G13003UU	https://www.glygen.org/glycan/G13003UU
44611452	G00057MO	44611452	HexNAc2	424.17	https://api.glygen.org/glycan/image/G00057MO	https://www.glygen.org/glycan/G00057MO
44611539	G00051MO	44611539	Hex1 HexNAc1 dHex1	529.2	https://api.glygen.org/glycan/image/G00051MO	https://www.glygen.org/glycan/G00051MO
44611726	G65562ZE	44611726	Hex1 HexNAc1 NeuAc1	674.24	https://api.glygen.org/glycan/image/G65562ZE	https://www.glygen.org/glycan/G65562ZE
45266782	G03006JP	45266782	Hex4	666.22	https://api.glygen.org/glycan/image/G03006JP	https://www.glygen.org/glycan/G03006JP
45266843	G18625KA	45266843	Hex3 HexNAc1 NeuAc4	1871.63	https://api.glygen.org/glycan/image/G18625KA	https://www.glygen.org/glycan/G18625KA
45266844	G02657AK	45266844	Hex2 HexNAc1 NeuAc2	1127.39	https://api.glygen.org/glycan/image/G02657AK	https://www.glygen.org/glycan/G02657AK
45266845	G79389NT	45266845	Hex2 HexNAc1 NeuAc1	836.29	https://api.glygen.org/glycan/image/G79389NT	https://www.glygen.org/glycan/G79389NT
45266846	G37184KW	45266846	Hex3 HexNAc1 NeuAc2	1289.44	https://api.glygen.org/glycan/image/G37184KW	https://www.glygen.org/glycan/G37184KW
45266861	G46677TE	45266861	Hex3 HexNAc1 NeuAc2	1289.44	https://api.glygen.org/glycan/image/G46677TE	https://www.glygen.org/glycan/G46677TE
45266862	G98544DH	45266862	Hex2 NeuAc2	924.31	https://api.glygen.org/glycan/image/G98544DH	https://www.glygen.org/glycan/G98544DH
45266863	G68110IF	45266863	Hex3 HexNAc1 NeuAc3	1580.53	https://api.glygen.org/glycan/image/G68110IF	https://www.glygen.org/glycan/G68110IF
45266894	G92175CL	45266894	Hex3 HexNAc2 NeuAc2	1492.52	https://api.glygen.org/glycan/image/G92175CL	https://www.glygen.org/glycan/G92175CL
45266908	G00052MO	45266908	Hex1 HexNAc1 dHex2	675.26	https://api.glygen.org/glycan/image/G00052MO	https://www.glygen.org/glycan/G00052MO
45480564	G26295XE	45480564	Hex3 HexNAc2 dHex1 Pen1	1188.43	https://api.glygen.org/glycan/image/G26295XE	https://www.glygen.org/glycan/G26295XE
45480568	G39211DH	45480568	Hex1 HexNAc1 dHex2	675.26	https://api.glygen.org/glycan/image/G39211DH	https://www.glygen.org/glycan/G39211DH
45480569	G00048MO	45480569	Hex1 HexNAc1 dHex2	675.26	https://api.glygen.org/glycan/image/G00048MO	https://www.glygen.org/glycan/G00048MO
45480579	G53868KU	45480579	Hex5	828.27	https://api.glygen.org/glycan/image/G53868KU	https://www.glygen.org/glycan/G53868KU
45480610	G92536LD	45480610	Hex2 HexNAc1	545.2	https://api.glygen.org/glycan/image/G92536LD	https://www.glygen.org/glycan/G92536LD
46224582	G43697DU	46224582	Hex6	990.33	https://api.glygen.org/glycan/image/G43697DU	https://www.glygen.org/glycan/G43697DU
46878594	G54021WX	46878594	Hex4 HexNAc2	1072.38	https://api.glygen.org/glycan/image/G54021WX	https://www.glygen.org/glycan/G54021WX
46906074	G33395TI	46906074	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G33395TI	https://www.glygen.org/glycan/G33395TI
46906083	G87315SO	46906083	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G87315SO	https://www.glygen.org/glycan/G87315SO
46906084	G60859DF	46906084	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G60859DF	https://www.glygen.org/glycan/G60859DF
46906085	G45388GV	46906085	HexNAc2	424.17	https://api.glygen.org/glycan/image/G45388GV	https://www.glygen.org/glycan/G45388GV
46906086	G55958KV	46906086	Hex1 HexNAc1 dHex1	529.2	https://api.glygen.org/glycan/image/G55958KV	https://www.glygen.org/glycan/G55958KV
46906103	G54406UD	46906103	Hex1 HexNAc1 HexA1 S1	639.13	https://api.glygen.org/glycan/image/G54406UD	https://www.glygen.org/glycan/G54406UD
49792066	G72506RN	49792066	Hex3 HexNAc1 NeuAc1	998.34	https://api.glygen.org/glycan/image/G72506RN	https://www.glygen.org/glycan/G72506RN
49852395	G16612QG	49852395	Hex1 HexNAc1	383.14	https://api.glygen.org/glycan/image/G16612QG	https://www.glygen.org/glycan/G16612QG
49852424	G55205ZV	49852424	Hex2 HexNAc1	545.2	https://api.glygen.org/glycan/image/G55205ZV	https://www.glygen.org/glycan/G55205ZV
49852447	G47548GA	49852447	Hex2 dHex1	488.17	https://api.glygen.org/glycan/image/G47548GA	https://www.glygen.org/glycan/G47548GA
49852448	G00066MO	49852448	Hex1 HexNAc1 dHex1	529.2	https://api.glygen.org/glycan/image/G00066MO	https://www.glygen.org/glycan/G00066MO
50909801	G94480CC	50909801	Hex3 HexNAc1 dHex2	999.36	https://api.glygen.org/glycan/image/G94480CC	https://www.glygen.org/glycan/G94480CC
50909802	G01650PH	50909802	Hex3 HexNAc1 dHex1	853.31	https://api.glygen.org/glycan/image/G01650PH	https://www.glygen.org/glycan/G01650PH
50909806	G74917JX	50909806	Hex2 HexNAc2 dHex3	1186.45	https://api.glygen.org/glycan/image/G74917JX	https://www.glygen.org/glycan/G74917JX
50909807	G98173LG	50909807	Hex3 HexNAc1 dHex1	853.31	https://api.glygen.org/glycan/image/G98173LG	https://www.glygen.org/glycan/G98173LG
50909809	G50540JU	50909809	Hex3 HexNAc1 dHex2	999.36	https://api.glygen.org/glycan/image/G50540JU	https://www.glygen.org/glycan/G50540JU
50909810	G83916HL	50909810	Hex3 HexNAc1 dHex1	853.31	https://api.glygen.org/glycan/image/G83916HL	https://www.glygen.org/glycan/G83916HL
50909845	G79535HZ	50909845	Hex2 HexNAc2 dHex2	1040.39	https://api.glygen.org/glycan/image/G79535HZ	https://www.glygen.org/glycan/G79535HZ
50992086	G21066IE	50992086	Hex3 HexNAc1 NeuAc1	998.34	https://api.glygen.org/glycan/image/G21066IE	https://www.glygen.org/glycan/G21066IE
50992178	G19017MP	50992178	Hex3 HexNAc1 NeuAc1	998.34	https://api.glygen.org/glycan/image/G19017MP	https://www.glygen.org/glycan/G19017MP
51351677	G71832QJ	51351677	Hex1 HexNAc2 dHex1	732.28	https://api.glygen.org/glycan/image/G71832QJ	https://www.glygen.org/glycan/G71832QJ
51351681	G02594WS	51351681	Hex1 HexNAc2 NeuAc1	877.32	https://api.glygen.org/glycan/image/G02594WS	https://www.glygen.org/glycan/G02594WS
51351800	G36123IU	51351800	HexNAc1 NeuAc1	512.19	https://api.glygen.org/glycan/image/G36123IU	https://www.glygen.org/glycan/G36123IU
5279514	G00049MO	5279514	Hex3 HexNAc1	707.25	https://api.glygen.org/glycan/image/G00049MO	https://www.glygen.org/glycan/G00049MO
5279515	G00059MO	5279515	Hex3	504.17	https://api.glygen.org/glycan/image/G00059MO	https://www.glygen.org/glycan/G00059MO
5288275	G00068MO	5288275	Hex1 dHex1	326.12	https://api.glygen.org/glycan/image/G00068MO	https://www.glygen.org/glycan/G00068MO
