pubchem_cid	pubchem_url	drugcentral_id	drugcentral_url	glytoucan_ac	glytoucan_url
2159	https://pubchem.ncbi.nlm.nih.gov/compound/2159	179	https://drugcentral.org/drugcard/179		
2160	https://pubchem.ncbi.nlm.nih.gov/compound/2160	180	https://drugcentral.org/drugcard/180		
2161	https://pubchem.ncbi.nlm.nih.gov/compound/2161	182	https://drugcentral.org/drugcard/182		
2162	https://pubchem.ncbi.nlm.nih.gov/compound/2162	183	https://drugcentral.org/drugcard/183		
2164	https://pubchem.ncbi.nlm.nih.gov/compound/2164	184	https://drugcentral.org/drugcard/184		
2165	https://pubchem.ncbi.nlm.nih.gov/compound/2165	186	https://drugcentral.org/drugcard/186		
2169	https://pubchem.ncbi.nlm.nih.gov/compound/2169	190	https://drugcentral.org/drugcard/190		
2170	https://pubchem.ncbi.nlm.nih.gov/compound/2170	191	https://drugcentral.org/drugcard/191		
2176	https://pubchem.ncbi.nlm.nih.gov/compound/2176	199	https://drugcentral.org/drugcard/199		
2179	https://pubchem.ncbi.nlm.nih.gov/compound/2179	203	https://drugcentral.org/drugcard/203		
2187	https://pubchem.ncbi.nlm.nih.gov/compound/2187	210	https://drugcentral.org/drugcard/210		
2194	https://pubchem.ncbi.nlm.nih.gov/compound/2194	218	https://drugcentral.org/drugcard/218		
2196	https://pubchem.ncbi.nlm.nih.gov/compound/2196	221	https://drugcentral.org/drugcard/221		
2197	https://pubchem.ncbi.nlm.nih.gov/compound/2197	222	https://drugcentral.org/drugcard/222		
2200	https://pubchem.ncbi.nlm.nih.gov/compound/2200	224	https://drugcentral.org/drugcard/224		
2202	https://pubchem.ncbi.nlm.nih.gov/compound/2202	226	https://drugcentral.org/drugcard/226		
2206	https://pubchem.ncbi.nlm.nih.gov/compound/2206	861	https://drugcentral.org/drugcard/861		
2216	https://pubchem.ncbi.nlm.nih.gov/compound/2216	229	https://drugcentral.org/drugcard/229		
2218	https://pubchem.ncbi.nlm.nih.gov/compound/2218	231	https://drugcentral.org/drugcard/231		
2225	https://pubchem.ncbi.nlm.nih.gov/compound/2225	234	https://drugcentral.org/drugcard/234		
2239	https://pubchem.ncbi.nlm.nih.gov/compound/2239	243	https://drugcentral.org/drugcard/243		
2244	https://pubchem.ncbi.nlm.nih.gov/compound/2244	74	https://drugcentral.org/drugcard/74		
2247	https://pubchem.ncbi.nlm.nih.gov/compound/2247	249	https://drugcentral.org/drugcard/249		
2249	https://pubchem.ncbi.nlm.nih.gov/compound/2249	255	https://drugcentral.org/drugcard/255		
2264	https://pubchem.ncbi.nlm.nih.gov/compound/2264	267	https://drugcentral.org/drugcard/267		
2265	https://pubchem.ncbi.nlm.nih.gov/compound/2265	269	https://drugcentral.org/drugcard/269		
2266	https://pubchem.ncbi.nlm.nih.gov/compound/2266	270	https://drugcentral.org/drugcard/270		
2267	https://pubchem.ncbi.nlm.nih.gov/compound/2267	271	https://drugcentral.org/drugcard/271		
2273	https://pubchem.ncbi.nlm.nih.gov/compound/2273	278	https://drugcentral.org/drugcard/278		
2275	https://pubchem.ncbi.nlm.nih.gov/compound/2275	3874	https://drugcentral.org/drugcard/3874		
2284	https://pubchem.ncbi.nlm.nih.gov/compound/2284	282	https://drugcentral.org/drugcard/282		
2292	https://pubchem.ncbi.nlm.nih.gov/compound/2292	286	https://drugcentral.org/drugcard/286		
2294	https://pubchem.ncbi.nlm.nih.gov/compound/2294	289	https://drugcentral.org/drugcard/289		
