UNIPROT_AC	DO_ID
O43819	DOID:0080357|DOID:11830
O43826	DOID:2749
O43837	DOID:0110409
O43896	DOID:0050941
O43897	DOID:0110111
O43914	DOID:0090112
O43918	DOID:0050167|DOID:417
O43924	DOID:0110991
O43929	DOID:0080513
O43933	DOID:0080377|DOID:0080476|DOID:0080623
O60216	DOID:0080508
O60220	DOID:0050757
O60240	DOID:0070205
O60243	DOID:0090075
O60258	DOID:0090082
O60260	DOID:0060368|DOID:0060892|DOID:14330
O60266	DOID:9970
O60282	DOID:0090133
O60292	DOID:0110262
O60303	DOID:0110995
O60308	DOID:0110994
O60313	DOID:0080336|DOID:0111340|DOID:0111441|DOID:0111580|DOID:5723
O60315	DOID:0060485
O60331	DOID:0060653
O60333	DOID:0050771|DOID:0110154
O60336	DOID:0111127
O60353	DOID:0080079|DOID:0080683
O60393	DOID:5426
O60443	DOID:0110575
O60479	DOID:0110053|DOID:0111565
O60481	DOID:0050545|DOID:0111766
O60487	DOID:0111640
O60488	DOID:0111860|DOID:0112050
O60494	DOID:13382
O60500	DOID:0080390|DOID:2590
O60565	DOID:0111685
O60566	DOID:0080141|DOID:0080688
O60602	DOID:417
O60610	DOID:0050564|DOID:0110541
O60662	DOID:0110929
O60663	DOID:9467
O60674	DOID:11512|DOID:2224|DOID:4971|DOID:8997|DOID:9119
O60683	DOID:0080481
O60706	DOID:0050650|DOID:0060569|DOID:0110451
O60716	DOID:0080346
O60721	DOID:0110868
O60733	DOID:0060900|DOID:0110735|DOID:0110736
O60741	DOID:0080429|DOID:0111296
O60762	DOID:0080557
O60779	DOID:0090117
O60783	DOID:0111466
O60806	DOID:0080150
O60826	DOID:0060572
O60828	DOID:0060179
O60832	DOID:0070025
O60840	DOID:0050630|DOID:0110871|DOID:0111007
O60879	DOID:5426
O60880	DOID:0060704|DOID:0060705
O60882	DOID:0110060
O60890	DOID:0080311
O60907	DOID:0111837
O60928	DOID:0110118|DOID:0111570
O60930	DOID:0111515
O60931	DOID:1064
O60934	DOID:12449|DOID:1612|DOID:7400
O60938	DOID:0060287
O60939	DOID:0050650
O75027	DOID:0050554
O75030	DOID:0090002|DOID:0090100|DOID:0110950
O75061	DOID:0060891
O75072	DOID:0050559|DOID:0050588|DOID:0110296|DOID:0110444
O75096	DOID:0060757|DOID:0090015|DOID:0110674
O75112	DOID:0080095|DOID:0110423
O75161	DOID:0050576|DOID:0111115
O75165	DOID:0060892|DOID:14330
O75190	DOID:0110273|DOID:0110305
O75197	DOID:0050535|DOID:0060849|DOID:0080037|DOID:0110937|DOID:0111411|DOID:0111412|DOID:11476|DOID:13533
O75204	DOID:0050771
O75208	DOID:0070242
O75251	DOID:0112093
O75298	DOID:0110765
O75306	DOID:0112066
O75342	DOID:0060710
O75352	DOID:0080558
O75360	DOID:9406
