cv_id	glytoucan_ac	pubchem_ac
25061208	G00035MO	25061208
25061209	G95418WH	25061209
25061460	G33476GF	25061460
25061461	G94798MK	25061461
25061463	G12393CD	25061463
25062237	G00058MO	25062237
25062238	G80494PJ	25062238
25069113	G05724WC	25069113
25074413	G68179GF	25074413
25098607	G17689DH	25098607
25193858	G97536OM	25193858
25194049	G09342SH	25194049
25201920	G76355TG	25201920
25202965	G19979XJ	25202965
25203969	G35363NM	25203969
25203970	G11967GO	25203970
25206501	G85378DV	25206501
25206502	G68640EZ	25206502
25206503	G95341UA	25206503
25206504	G36160KT	25206504
25207146	G39850EU	25207146
25207147	G86950QP	25207147
25229562	G00037MO	25229562
25257164	G31736BK	25257164
25257394	G31160EV	25257394
25796555	G71124KE	25796555
2724488	G16038XU	2724488
29921593	G72504FH	29921593
3010289	G37135JQ	3010289
3010290	G60230HH	3010290
3032806	G20291UE	3032806
3034742	G10899AB	3034742
3037556	G93924TT	3037556
3080780	G03862KK	3080780
3082206	G73540DV	3082206
3084050	G48124SB	3084050
3085216	G38710SX	3085216
34173590	G40221BS	34173590
35717	G27025MB	35717
37723	G09583ED	37723
439174	G64581RP	439174
439177	G99991IU	439177
439195	G88980IR	439195
439197	G81533KY	439197
439213	G80384UV	439213
439240	G84489FR	439240
439271	G00055MO	439271
439281	G29494LA	439281
439326	G42666HT	439326
439353	G65889KE	439353
439357	G09546QO	439357
439507	G74407MX	439507
439508	G32319HH	439508
439509	G14001GU	439509
439537	G42865BX	439537
439544	G07982RO	439544
439548	G20386CD	439548
439554	G96881BQ	439554
439557	G77384RA	439557
439583	G61899YO	439583
439586	G33575EC	439586
439606	G03116ET	439606
439626	G65718MY	439626
439639	G78800HY	439639
439650	G82562YG	439650
439668	G33569DD	439668
439678	G26478JK	439678
439680	G74840NI	439680
439710	G38999IM	439710
439730	G51535NO	439730
439731	G27752QD	439731
439737	G99739TG	439737
439764	G86614XL	439764
439991	G07348OG	439991
440405	G01534TU	440405
440511	G03499BP	440511
440552	G61418DU	440552
440658	G09165XB	440658
440660	G68137PO	440660
440921	G37615KF	440921
440948	G09454VW	440948
440950	G14338VK	440950
440993	G45827GY	440993
440994	G04616ST	440994
440995	G74621DY	440995
441032	G65726WP	441032
441033	G14783GG	441033
441034	G68146NX	441034
441035	G05946XD	441035
441248	G78436BB	441248
441427	G01055WR	441427
441477	G19577LJ	441477
441481	G51060EL	441481
441487	G74740WV	441487
44229007	G30285SX	44229007
44263850	G74724PV	44263850
