id	glytoucan_ac
70698332	G67969KB
70698359	G95440AP
70698367	G74293NX
70698368	G90333CG
70698369	G08244HV
70698370	G03044ED
70698371	G66489LJ
70698374	G11998FO
70698375	G41052GC
70698377	G71814NS
70698378	G65191ST
70698382	G55220VL
70698383	G80966KZ
70698386	G31119YY
70698387	G00672PE
70788957	G19606QV
70788970	G93899SO
70788971	G36476BA
70788973	G22203BB
70788974	G01245TU
70788976	G04791QM
70788977	G43191LZ
70788978	G91365ZQ
70788979	G84467IZ
70788980	G60430KO
70788981	G25824CS
70788989	G18233KV
70788991	G14047PA
70788992	G61435KZ
70788993	G95306KD
70789002	G08169IN
70789003	G75789AR
70789004	G24684AO
70789016	G54115JL
70789017	G62112AO
7098663	G96446SA
7098664	G28399HE
71010344	G92177ZW
71092190	G14412XT
71296137	G12460DL
71296138	G46849JR
71296140	G56720TK
71296166	G78959US
71296168	G08396BF
71296169	G56703WU
71296178	G12518FG
71296179	G58169ID
71297234	G46208LD
71297235	G24464VD
71297236	G24529NQ
71297237	G32948PW
71297238	G09480OP
71297239	G35562PU
71297240	G32685CP
71297241	G90377OF
71297242	G43930QJ
71297243	G99627GJ
71297244	G14561VC
71297245	G13910LY
71297246	G31457FJ
71297247	G18414FL
71297248	G06557IC
71297249	G74394BJ
71297250	G45400XL
71297251	G73717AG
71297252	G40544US
71297253	G82746VF
71297254	G99510WI
71297255	G32715TG
71297256	G67026KG
71297257	G06616KY
71297258	G21561XX
71297259	G92058BI
71297260	G81252MZ
71297261	G11417QD
71297262	G74656JE
71297263	G23154TX
71297264	G46271TS
71297265	G77372RE
71297266	G54585VU
71297267	G30816RB
71297268	G42296CW
71297269	G23333KI
71297270	G40737EA
71297271	G42436GS
71297272	G08431YY
71297278	G98419BR
71297279	G10973QG
71297280	G45570JA
71297281	G40103VO
71297282	G75030WH
71297289	G25009PP
71297291	G35963CN
71297292	G82207VX
71297293	G70681VG
71297294	G75896QL
71297295	G98516BG
71297296	G95633RJ
71297297	G65030HB
71297298	G39119ZF
71297299	G38029ML
71297300	G43708QI
71297301	G25325YE
71297302	G23342BO
71297303	G14927KP
71297304	G51304JG
71297305	G66121LF
71297306	G52070UO
71297307	G65721TS
71297308	G52498MU
71297309	G22122FL
71297316	G94626AX
71297317	G62145FH
71297318	G79037RU
71297319	G84350SH
71297320	G98878RR
71297321	G17988XO
71297322	G58381OV
71297323	G97166FW
71297324	G54626GN
71297325	G35053YZ
71297326	G33030OB
71297327	G13006TG
71297328	G39174FS
71297329	G50165QT
71297330	G13746SQ
71297331	G34603JX
71297333	G09715CS
71297334	G82725FS
71297335	G27139SJ
71297337	G87784HD
71297338	G06768XI
71297339	G13305QJ
71297340	G74054RO
71297341	G33066WV
71297342	G10040DS
71297343	G85900AY
71297344	G84764CL
71297345	G67954RA
71297346	G70593DF
71297347	G39662GV
71297348	G37855JI
71297349	G33275DG
71297361	G47023PF
71297362	G31265VL
71297363	G05108UT
71297364	G37216UM
71297365	G20873FZ
71297366	G12033AP
71297367	G38974XL
71297368	G35528XC
71297369	G95589FK
71297370	G01595SM
71297373	G05890XZ
71297374	G03951MJ
71297375	G22327VZ
71297376	G01542OM
71297377	G33273UQ
71297378	G88469YE
71297379	G50354DO
71297383	G57311FK
71297384	G80498RN
71297385	G48670RT
71297386	G80513FH
71297387	G93869JB
71297388	G30295SC
71297389	G65484DP
71297390	G01713HS
71297391	G81194MD
71297392	G45995IV
71297393	G41804LU
71297394	G10359OW
71297395	G01299ER
71297396	G14307KB
71297398	G75571YN
71297400	G77479VH
71297401	G48421GV
71297402	G06920GM
71297403	G87308QC
71297404	G07169PS
71297410	G14576KZ
71297411	G69987TD
71297412	G96768SN
71297413	G49282JI
71297414	G72373YW
71297415	G33439FJ
71297416	G36693BM
71297417	G75022UP
71297418	G82405LP
71297419	G00492CQ
71297420	G63820GM
71297421	G37809PL
71297422	G65703ID
71297425	G31416KB
71297426	G28654UV
