ENSEMBL_ID	DO_ID
ENSG00000009830	DOID:0050588|DOID:0080571|DOID:0110298|DOID:0111240
ENSG00000010072	DOID:0111264
ENSG00000010404	DOID:12799
ENSG00000010671	DOID:0060875|DOID:14179|DOID:612
ENSG00000010704	DOID:0111029|DOID:2352|DOID:4346
ENSG00000010818	DOID:0070073
ENSG00000011143	DOID:0050778|DOID:0070115|DOID:0110135|DOID:0110997
ENSG00000011198	DOID:0050729
ENSG00000011201	DOID:0090094
ENSG00000011295	DOID:0060351
ENSG00000011376	DOID:0050857
ENSG00000011426	DOID:0111133
ENSG00000011465	DOID:0060445
ENSG00000011600	DOID:0090112
ENSG00000012048	DOID:1612|DOID:2394
ENSG00000012174	DOID:0080754|DOID:0111821|DOID:0111847|DOID:0112012
ENSG00000012660	DOID:0050985
ENSG00000013293	DOID:0110374
ENSG00000013375	DOID:0111953
ENSG00000013503	DOID:0060797
ENSG00000013573	DOID:0060535
ENSG00000013619	DOID:10892
ENSG00000014216	DOID:0110821
ENSG00000014919	DOID:0080358
ENSG00000015133	DOID:0050986|DOID:10908
ENSG00000015171	DOID:0070060
ENSG00000015285	DOID:0112128|DOID:1588|DOID:9169
ENSG00000015479	DOID:0060212
ENSG00000015532	DOID:2738
ENSG00000017260	DOID:0050429
ENSG00000018236	DOID:0080101
ENSG00000018510	DOID:0110853
ENSG00000018625	DOID:0050635|DOID:0111182
ENSG00000019549	DOID:0110952|DOID:3263
ENSG00000019991	DOID:0110497
ENSG00000021488	DOID:9266
ENSG00000021574	DOID:0110792
ENSG00000021826	DOID:9280
ENSG00000021852	DOID:0060302
ENSG00000022355	DOID:0080431|DOID:0111314
ENSG00000023228	DOID:0112068
ENSG00000023839	DOID:12308
ENSG00000025708	DOID:0070329|DOID:0080119
ENSG00000026025	DOID:0110248
ENSG00000026103	DOID:6688
ENSG00000027001	DOID:0111488
ENSG00000027075	DOID:3526
ENSG00000027697	DOID:0111955|DOID:0111956
ENSG00000027847	DOID:0080738
ENSG00000029534	DOID:0110916
ENSG00000029993	DOID:0111811
ENSG00000030066	DOID:0080394
ENSG00000030304	DOID:0110670|DOID:0111375|DOID:0111377
ENSG00000030582	DOID:0060672|DOID:0110732
ENSG00000031081	DOID:0060227
ENSG00000033011	DOID:0080563
ENSG00000034693	DOID:0080484
ENSG00000034971	DOID:1068|DOID:11211
ENSG00000035403	DOID:0110321|DOID:0110446
ENSG00000036473	DOID:9271
ENSG00000036828	DOID:0060699|DOID:0060700|DOID:0090107|DOID:0090109|DOID:0111322
ENSG00000037474	DOID:0060308
ENSG00000038002	DOID:0050461
ENSG00000038295	DOID:0110111
ENSG00000038382	DOID:0070074
ENSG00000038532	DOID:9744
ENSG00000038945	DOID:10283|DOID:9206
ENSG00000039068	DOID:0080344|DOID:0080345|DOID:0080764|DOID:1380|DOID:2394
ENSG00000039139	DOID:0110599
ENSG00000039537	DOID:0060299
ENSG00000039650	DOID:0080457
ENSG00000040531	DOID:1064
ENSG00000040608	DOID:5419
ENSG00000041982	DOID:0110581
ENSG00000042088	DOID:0090115
ENSG00000042317	DOID:0110331|DOID:10584
ENSG00000042429	DOID:0111262
ENSG00000042753	DOID:0060702
ENSG00000042781	DOID:0110360|DOID:0110838
ENSG00000043355	DOID:0110878
ENSG00000043514	DOID:0111464
ENSG00000044090	DOID:0060241
ENSG00000044115	DOID:0060864
ENSG00000044446	DOID:0111042
ENSG00000044524	DOID:9256
ENSG00000046604	DOID:0110081|DOID:0110458
ENSG00000046651	DOID:0060316|DOID:0080342|DOID:0110412|DOID:0110981
ENSG00000047056	DOID:0111675
ENSG00000047457	DOID:0050711
ENSG00000047579	DOID:0060545
ENSG00000047597	DOID:0112107
ENSG00000048392	DOID:0080127|DOID:0111518
ENSG00000048545	DOID:0080314
ENSG00000048707	DOID:0111611
ENSG00000049089	DOID:0070298
ENSG00000049130	DOID:0110590|DOID:0111373
ENSG00000049167	DOID:0060240|DOID:2962
ENSG00000049239	DOID:0090139|DOID:0090141
ENSG00000049246	DOID:0110013
ENSG00000049541	DOID:1928
ENSG00000049618	DOID:0070042|DOID:1925
ENSG00000049768	DOID:0090110
ENSG00000049860	DOID:3323
ENSG00000050030	DOID:0112044
ENSG00000051180	DOID:0111090|DOID:1612
ENSG00000051341	DOID:1612
ENSG00000051523	DOID:0070193
ENSG00000052850	DOID:0060285|DOID:0111687
ENSG00000053524	DOID:9352
ENSG00000053918	DOID:0050650|DOID:0050793|DOID:0110644|DOID:2842|DOID:2843|DOID:9352
ENSG00000054282	DOID:0050576|DOID:0110138
ENSG00000054523	DOID:0050771|DOID:0110154
ENSG00000054598	DOID:0080608|DOID:0110122
ENSG00000054654	DOID:0070250
ENSG00000054967	DOID:0111722
ENSG00000054983	DOID:10587
ENSG00000055118	DOID:0050793|DOID:0110645
ENSG00000055163	DOID:0080430
ENSG00000055609	DOID:0080598
ENSG00000056972	DOID:0111287|DOID:2058
ENSG00000057294	DOID:0110077
ENSG00000057593	DOID:2215
ENSG00000057663	DOID:0080259
ENSG00000058085	DOID:0060737
ENSG00000058404	DOID:0080230
ENSG00000059573	DOID:0070131|DOID:0070132|DOID:0110824|DOID:0110825
ENSG00000059691	DOID:0112119
ENSG00000060237	DOID:0070155
ENSG00000060718	DOID:0060465|DOID:0080672|DOID:0080675|DOID:0111510
ENSG00000060762	DOID:0080363
ENSG00000061337	DOID:5041
ENSG00000062038	DOID:0110711|DOID:0111649
ENSG00000063177	DOID:0111896
ENSG00000064012	DOID:0110116|DOID:1324
ENSG00000064195	DOID:0110053|DOID:0111565
ENSG00000064309	DOID:0110877
ENSG00000064313	DOID:0060308
ENSG00000064490	DOID:5812
ENSG00000064601	DOID:0080540
ENSG00000064651	DOID:0112159
ENSG00000064687	DOID:0111364
ENSG00000064692	DOID:0060892|DOID:14330
ENSG00000064835	DOID:9406|DOID:9410
ENSG00000065057	DOID:0080411
ENSG00000065154	DOID:1415
ENSG00000065361	DOID:0060560
